N,AreaWide,ErrorWidePercent,RectangleAreaWide,AreaNarrow,ErrorNarrowPercent,RectangleAreaNarrow,ExactArea
83100,0.940508,0.424423,9.72214,0.946089,0.16642,1.25,0.944517
83600,0.940465,0.428972,9.72214,0.945948,0.151483,1.25,0.944517
84100,0.940076,0.470184,9.72214,0.945675,0.122561,1.25,0.944517
84600,0.940726,0.401407,9.72214,0.945626,0.117445,1.25,0.944517
85100,0.941368,0.333438,9.72214,0.945652,0.120166,1.25,0.944517
85600,0.940185,0.45866,9.72214,0.945386,0.0919335,1.25,0.944517
86100,0.940371,0.438968,9.72214,0.945557,0.110141,1.25,0.944517
86600,0.941341,0.336301,9.72214,0.94541,0.0945186,1.25,0.944517
87100,0.942076,0.258449,9.72214,0.945321,0.0851529,1.25,0.944517
87600,0.94247,0.216736,9.72214,0.945334,0.0864694,1.25,0.944517
88100,0.942308,0.233915,9.72214,0.945389,0.0922775,1.25,0.944517
88600,0.943025,0.157958,9.72214,0.945457,0.0995138,1.25,0.944517
89100,0.944498,0.00198729,9.72214,0.945623,0.117066,1.25,0.944517
89600,0.944653,0.0143873,9.72214,0.945578,0.112267,1.25,0.944517
90100,0.945022,0.0534286,9.72214,0.945491,0.103115,1.25,0.944517
90600,0.94485,0.035233,9.72214,0.94553,0.10721,1.25,0.944517
91100,0.945214,0.0737313,9.72214,0.945554,0.109807,1.25,0.944517
91600,0.945255,0.0780979,9.72214,0.945388,0.0921496,1.25,0.944517
92100,0.945718,0.127122,9.72214,0.945385,0.0919268,1.25,0.944517
92600,0.945546,0.108921,9.72214,0.945316,0.0845605,1.25,0.944517
93100,0.945898,0.146197,9.72214,0.945247,0.0772734,1.25,0.944517
93600,0.946662,0.227062,9.72214,0.945379,0.0912728,1.25,0.944517
94100,0.946384,0.197682,9.72214,0.945165,0.068557,1.25,0.944517
94600,0.94724,0.288302,9.72214,0.945283,0.0810556,1.25,0.944517
95100,0.947576,0.32385,9.72214,0.945255,0.0781149,1.25,0.944517
95600,0.946078,0.165221,9.72214,0.945293,0.0821267,1.25,0.944517
96100,0.946214,0.179618,9.72214,0.945265,0.0792111,1.25,0.944517
96600,0.946046,0.1619,9.72214,0.94551,0.105096,1.25,0.944517
97100,0.946582,0.218568,9.72214,0.945559,0.11027,1.25,0.944517
97600,0.94741,0.306295,9.72214,0.94562,0.116747,1.25,0.944517
98100,0.945951,0.151798,9.72214,0.945553,0.109667,1.25,0.944517
98600,0.945,0.0510649,9.72214,0.94555,0.10937,1.25,0.944517
99100,0.944744,0.0240553,9.72214,0.945409,0.094386,1.25,0.944517
99600,0.944589,0.00765135,9.72214,0.945507,0.104799,1.25,0.944517
